album_uuid,album_title,album_year,album_category,album_music_director,album_lyricist,album_label,album_rating
e975774e-9190-5f19-a65a-086eeb432ddd,Sati Madalsa,1955,"Hindi, Film",Chitragupt,Gopal Singh Nepali,H.M.V.,0
4842143a-36bd-51ec-810b-5177710c18a3,Sau Ka Note,1955,"Hindi, Film",S. Mohinder,"Anjaan, Majrooh Sultanpuri, Jeet, Surjit Sethi",H.M.V.,0
a0208dd7-4bc4-583f-b436-6f7840ef0865,Seema,1955,"Hindi, Film",Shankar - Jaikishan,"Hasrat Jaipuri, Shailendra",H.M.V.,4.0
986c6a44-3af1-5c1e-8551-5394a1d53dfc,Shah Behram,1955,"Hindi, Film",Hansraj Behl,"Bedam Warsi, Asad Bhopali",H.M.V.,0
bdc22600-d818-5d36-a167-a8b74ab03567,Shahi Chor,1955,"Hindi, Film",Dhaniram,"Shewan Rizvi, Raja Mehdi Ali Khan, Kaifi Azmi",H.M.V.,0
845aaaf5-4579-5120-abe4-86eabfc5bd73,Shahi Mehman,1955,"Hindi, Film",Bipin - Babul,"Raja Mehdi Ali Khan, Anjum Jaipuri, Hasrat Jaipuri",Music Master - Bulbul Records,0
cfcb7516-ab1e-58fc-ae69-9cec58c117f7,Shahzada,1955,"Hindi, Film","S. Mohinder, Nashad","Tanveer Naqvi, Khumar Barabankvi",H.M.V.,0
f8a04b1f-67ab-544d-a8a2-7e52870be724,Shikar,1955,"Hindi, Film",Bulo C. Rani,"Indeevar, Pandit Priyadarshi, Arshi Ajmeri, Noor Devasi",H.M.V.,0
acb9b308-8f8f-535a-8d16-1ea93a53d519,Shiv Bhakta,1955,"Hindi, Film",Chitragupt,Gopal Singh Nepali,H.M.V.,0
5511badb-40f1-530d-937b-d7d9c3eb4487,Shree 420,1955,"Hindi, Film",Shankar - Jaikishan,"Shailendra, Hasrat Jaipuri",H.M.V.,4.43
8ed5e643-b2a3-5318-8c3a-b18c358c9134,Shree Krishna Bhakti,1955,"Hindi, Film",Chitragupt,Gopal Singh Nepali,H.M.V.,0
45614d29-d097-5c3f-a42d-ac970ff13bde,Shri Ganesh Vivah,1955,"Hindi, Film",Chitragupt,"Gopal Singh Nepali, Bharat Vyas",H.M.V.,0
d697c6f2-05d4-56bf-b7c0-13684ea6e606,Shri Naqad Narayan,1955,"Hindi, Film",Vinod,"Verma Malik, Qamar Jalalabadi, Pyarelal Santoshi, Madhup Sharma",H.M.V.,0
0fd6ee49-b14c-5d8d-9d8b-d9aa774339bc,Sitara,1955,"Hindi, Film",Ghulam Mohammed,Shakeel Badayuni,H.M.V.,0
d33a2502-4465-5b7e-8e39-ca8bfdef16d7,Society,1955,"Hindi, Film",S.D. Burman,Sahir Ludhianvi,H.M.V.,0
c6624405-c91a-5817-92e4-264767235103,Son Of Alibaba (Alibaba Ka Beta),1955,"Hindi, Film",Sardul Kwatra,Prem Dhawan,Music Master - Bulbul Yellow Records,0
7326278a-bcaf-501e-abe3-1ef838746cbf,Swami Vivekanand,1955,"Hindi, Film",R.C. Boral,"Shankar Sen, Tandon Jodhpuri, Surdas",H.M.V.,0
62194e1f-1636-57a9-8c64-4cea33b85b5a,Tatar Ka Chor,1955,"Hindi, Film",Khayyam,Prem Dhawan,H.M.V.,0
2453c2d2-1a27-55c6-b64e-22aaafb7c17f,Teen Bhai,1955,"Hindi, Film",Arun Kumar,Bharat Vyas,H.M.V.,0
a5400981-8b8c-5253-85d8-fee98122f8c3,Teen Sardar,1955,"Hindi, Film",Sumant Raj,Naqsh Lyallpuri,H.M.V.,0
4b26e5e9-2b77-5772-b4ea-0eea444ed0bc,Teerandaz,1955,"Hindi, Film",C. Ramchandra,Rajendra Krishan,H.M.V.,0
54430d26-653e-5e9a-9cbd-73b36a21e264,Tis Mar Khan,1955,"Hindi, Film",Sardul Kwatra,"Prem Dhawan, Shailendra",Music Master - Bulbul Brown Records,0
462cdb2c-6f0e-5306-be2b-7182b8f17711,Tonga-Wali,1955,"Hindi, Film",Salil Chowdhury,Prem Dhawan,H.M.V.,2.5
b185094c-c607-59c5-8818-f9e226db53f5,Toofan Mail,1955,"Hindi, Film",Nisar,M.L. Khanna,H.M.V.,0
f4a1f81e-f63c-5b7f-b654-ac3b009a26fd,Uran Khatola,1955,"Hindi, Film",Naushad,Shakeel Badayuni,H.M.V.,3.8
e33d3b1d-2287-5764-bd5b-7088f7a61152,Vachan,1955,"Hindi, Film",Ravi,"Ravi, Prem Dhawan, Bharat Vyas",H.M.V.,2.5
7893cce2-7a73-5196-a72a-43d88ba10107,Veer Rajputani,1955,"Hindi, Film",Bulo C. Rani,Gopal Singh Nepali,H.M.V.,0
ce060b56-afd0-5f72-aae0-256a8a913ffa,Waman Avtar (Bali Raja),1955,"Hindi, Film",Avinash Vyas,"Gopal Singh Nepali, Kavi Pradeep",H.M.V.,2.67
d872ae52-2313-53d1-90d1-5e94a399939b,Woh Saath Hamara De Na Sake,1955,"Hindi, Non Film",Hemant Kumar,Madhukar Rajasthani,Saregama,0
